,a1,a2,a3,a4,f1,f2,f3,f4,l1,l2,l3,l4,arquivo
0,222.88886503679436,533.7220036929996,240.05180297053388,826.0507479512833,1245,1347.1756970325616,1510,1606.4346054436862,87.73714146580107,53.222608022654214,79.54879201948947,23.94505482677656,A
1,186.6005714429592,470.85544790036147,205.42256811303704,744.5710454167553,1245,1347.3183221920792,1510,1606.309214229878,85.36269776936689,53.46504044036702,78.31613391237826,23.619565673422507,B
2,1210.9853570424298,3000.163959033474,1521.396397560237,4665.153572880447,1245,1343.2788386852749,1510,1605.0912306432247,101.14061297306306,52.324681471881824,94.43781294429064,24.59099182338137,C
3,0.0,4619.094756177765,1786.7903943878023,7429.098593504341,1245,1330.2588292717603,1510,1603.5409578319316,43.17283729237188,84.97240374562577,47.420982677774575,26.706446186555105,D
4,693.1635344414915,1302.224189069006,902.7082820705326,1900.186320875652,1245,1354.8380678003757,1510,1606.9328709849708,97.22491028860684,75.57578128969186,62.707093250605496,41.16013072760486,E
5,1112.7941999969564,2495.557065767855,1314.6879102041921,4137.018776407966,1245,1344.4283009125058,1510,1605.1590186532476,91.47445402906355,54.10563258788276,94.12428433755318,24.6055327942016,F
6,944.8338487307518,2471.548165306773,1188.2589767809598,3546.9392646830856,1245,1348.3954571223203,1510,1606.015944738118,87.89080652141503,54.63489977206714,74.8257019297523,26.08313973323264,G
7,1142.3154245304838,2759.0319926271827,1343.4823506029047,4435.101282772631,1245,1348.3098598730307,1510,1605.4585667525344,80.32738059802392,55.9089345982473,72.08256297063446,25.097091536671364,H
8,787.7923731592223,1286.6994744513624,311.8389211278942,1555.7819392320312,1245,1399.0700333144243,1510,1600.5920749666377,74.59000804817296,83.63206971277654,55.54277966746903,56.89479980636643,I
9,564.8755486666713,1064.6908377898953,745.7752606942265,1432.9646252250434,1245,1361.0273125981755,1510,1605.7372229053383,138.46710345405006,78.09576376873342,69.23739352590084,48.683603303514,J
10,148.75204916809128,213.0838925717384,0.016637826207096668,293.217978379981,1245,1399.9999966340959,1510,1594.7122607339056,144.28381875715618,114.16408486403843,95.61577784036689,63.60827911009041,K
11,1696.3568306690522,1904.2982423892838,1375.0201832754303,2599.086327220911,1245,1365.192146610847,1510,1590.1502162879829,132.889413707537,81.904666736909,66.63758163981639,55.32831248940474,L
